Acronym,Meaning,Description
BLM,Barrier Layer Metal,
BMET,Berkeley Micro Exposure Tool,0.5NA EUV tool using Berkeley synchrotron light source
Bossung Plot,Bossung Plot,"A plot of CD variation of a printed feature versus exposure latitude and focus latitude (after J.W. Bossung, 1977). This plot serves as a tool to optimize focus and exposure dose."
BOX,BARC oxide,A type of photoresist
BPX,Business Practices Excellence,"BPX is the highest standards of business ethics, excellence and integrity. Our values state that Intel will, ""conduct business with uncompromising integrity and professionalism."""
BSL,Baseline,
BTS,Bias Temperature Stress,"The BTS margin DVB to Poly/TCN is ~ 5nm on 1278. In practice, BTS (Biased Temperature Stress or Bias-Temperature Stress) is the minimum space required between two features A and B, as shown here: https://www.spiedigitallibrary.org/ContentImages/Journals/JMMMGF/17/4/041008/FigureImages/JM3_17_4_041008_f003.png. BTS margins are determined based on a variety of parameters - layer pairs, features considered, material used in the layers, etc."
BUM,Business Update Meeting,Company-wide quarterly meeting which updates employees on the business outlook. Blue badge employees are expected to attend; Green badges are generally not allowed to attend.
BVE,Better Version Exists,Utilized in CGM
CTC or C2C,Corner To Corner ,(1) Two nearby features whose shortest connecting line is a non-Manhattan line between their corners. (2) The distance between two features in the arrangement defined by (1).
C4,Controlled Collapse Chip Connection,A solder joint between a substrate and a flip chip whose height is controlled by the surface tension of the liquid solder.
CA,Correction Agent,
CAA,Critical Area Analysis,
CADNAV,same as DB coordinates,Coordinates relative to lower left corner of seat .oas file.
CAGR,Cumulative Average Growth Rate,
CAMDEX,CATS based Metal Density Extraction,
CAP,Corrective Action Plan,A written notice to employees that describes the performance problem and the actions required to fix the problem. Can also apply to suppliers and their performance.
CAR,Chemically Amplified Resist,"Resist that when exposed to light creates an acid catalyst (PAG), and then when heated, the acid drives a chemical reaction that changes it's solubility in solvent, allowing it to be developed away."
catch-22,,A dilemma or difficult circumstance from which there is no escape because of mutually conflicting or dependent conditions.
CATS,Computer Aided Transcription System,
CBC,Contour Based Check,"(1) A Mazama mode that produces model-based contours for a given mask and performs various checks on these contours, such as checks for bridging, pinching, deviation from target, etc. The checks to be performed (and their associated parameters) are set in a CBC recipe. (2) A CBC recipe. (3) ChkOPC, the TES module in which CBC is run."
CBO,Contour Based Overlay,
CCB,Change Control Board,"The group representing applicable engineering, manufacturing, quality, and planning functions, which dispositions and coordinates engineering changes to a product."
CD,Critical Dimension,"A physical distance for a feature that is either (1) measured in the fab or (2) predicted by a model. The most frequent CDs that are measured are the width/height of a feature and the space between two features. (Not to be confused with: the unix command to change directories, Chris Destefano, Compact Disc, or Certificate of Deposit.)"
CD – SEM,Critical Dimension Scanning Electron Microscopy,
CDIS,Common Directory Information System,
CDU,Critical Dimension Uniformity,Analogous to CER. LCDU: Local CDU.
CE!,Copy Exactly!,A process for documenting and implementing change (or exceptions) to standards. Standardization of processes across manufacturing facilities and identifying the best processes then copying those processes to each facility.
CEB,Constant Etch Bias,
CER,Contact Edge Reduction,
CER,Contour Edge Roughness,
CF,Clear Field,"A mask for which features (polygons) represent chrome/mosi (or absorbing regions) and empty regions (the ""field"") represent glass (or transmitting regions)."
CGM,Configuration Management System,CGM to replace CSMT
CHCM/CMCM/etc,IMO PDVs. See PDV.,"Both CMCM and CHCM are EPSM plates sharing very similar plate film stacks. In CHCM, one stack film has been replaced by a carbon hard mask."
CLG,Computational Lithography Group,See CLT.
CLT,Computational Lithography Team,"A group in PTD that writes software for computational lithography and data analysis, including Mazama, ILT, Hudz, Imager, and other applications."
CM,Coordination Meeting,
CM,Correction module,A corrector in OPC that suggests segment movement at each iteration
CMC,Chrome-less Mask,See CPL
CMOS,Complimentary Metal Oxide Semi-Conductor,
CNB,Connected Network Backup,
CNL,Cannon Lake (processor codename),
CNTD,Compact Negative Tone Dev.,Type of model.
COAG,Contact on Active Gate,
COB,Close Of Business,Synonym for end of day.
COG,Chrome on Glass,A binary reticle that uses a kind of chromium compound on fused silica quartz to create a pattern template.
CPL,Chrome-less Phase-shift Lithography,A Lithography process using a purely transmissive mask where some regions have been etched to create a 180-degree phase shift. Features are patterned using destructive interference that occurs near the boundary of these phase shift regions.
CPP,Contacted Poly Pitch,The minimum distance between two poly (PC). Also known as Contacted Gate Pitch (CGP).
CR,Corner Rounding,The shape of the contour near the corner of a target feature.
CSI,Correction Set Instance,
CSID,Correction Set ID,
CSMT,Correction Set Master Table,
CSO,Correction Set Owner,defines sizing table
CTC or C2C,Corner To Corner ,(1) Two nearby features whose shortest connecting line is a non-Manhattan line between their corners. (2) The distance between two features in the arrangement defined by (1).
CTG,California Technology Group,
CTM,California Technology and Manufacturing,
CVD,Chemical Vapor Deposition,A process to deposit atoms
CWD,Current Working Directory,
D0,Nominal exposure conditions,
D2DB,Die to Database,In the context of QSA data acquisition.
D4,Defect Disposition thru Design Data,
DAG,Directed acyclic graph,"Some examples are commands in Calibre flows, OASIS file cell hierarchy, git commits, modules in a sequence equation"
DBO,Diffraction Based Overlay,Overlay mark for diffraction based metrology. See also IBO.
DCB,Diffusion Complement & Backbone,Refer RET Fab Glossary#Glossaryoflayers for a glossary of layer names.
DCCD,Development Check Critical Dimension,CD in developed photoresist.
DCF,Double Correction Fix,
DE,Design Enablement group,
DF,Dark Field,"A mask for which features (polygons) represent glass (or transmitting regions) and empty regions (the ""field"") represent chrome/mosi (or absorbing regions)."
DFG,Design Finishing Group,DFG owns the white=space fill flow
DFM,Design For Manufacturability,In the context of Calibre
DFT,Die Fit Target,"A frame cell used by IMO and Fab for visual indicator, pattern recognition, and registration"
dg_12XX_CBC,design gauge class,dg = design gauge – 12XX = technology - CBC = Contour Based Check
DGLM (or DGLm),Dynamic gas lock membrane,"From https://pure.tue.nl/ws/portalfiles/portal/146917108/Schlijper_Thesis_MRL_SCHLIJPER_20181102_PUBLIC.pdf, copied verbatim: ""An EUV lithography production tool uses EUV-light to expose photoresist on wafers. This EUV light has enough energy to induce a hydrogen plasma in the hydrogen background gas by so-called photoionization reactions. After creation of the first ions and electron, electron-impact collisions, plasma chemistry and recombination reactions take place. This EUV-induced plasma affects certain optical components of the machine, including capped pSi membranes. One of these capped pSi membranes is the DGLm, which filters out DUV and IR light while transmitting EUV-light."""
DIC,Drop In Cell,A set of regular structures used for measurements at IMO regarding the mask-making process. These are also used opportunistically for Lithography measurements. Disposition cell used by both Fab and IMO for Registration and CD’s (isolated and nested)
Dispo,Disposition,"The process of deciding how to handle violations (for example, from CBC) or similar items that need an engineer's attention and judgement."
DLC,Dynamic learning corrector,A corrector module in OPC that uses data and regressions to adjust its behavior
DMG,Dual Metal Gate,One of the model based implant layers
DMM,Domain Mis-Match,"Near a domain boundary, OPC can behave differently in the cores on the two sides; for example, this can occur because each client only has access to the correction in its own core and not the correction performed by clients handling adjacent cores. When the domains are stitched back together at the end of OPC, this can lead to discrepancies near domain boundaries (DMM). Ideally, DMM should be fixed during OPC Fixup."
DNIR,Do Not Inspect Region at IMO,
DNP,Do Not Process,An ID used to prevent a variety of operations from being performed in our flows (including but not limited to OPC).
DNU,Diffusion Negative Universal/Unified,Fin/Nanoribbon cut layer (EUV) - determines OGD extent of fin/ribbon. Think of it as a mask for removing diffusion/fins/ribbons  - Negative since switched to negative tone from a positive tone historically. Unified since multiple DUV masks got replaced with 1 EUV mask.
,,Refer RET Fab Glossary#Glossaryoflayers for a glossary of layer names.
DNW,Deep N-well,Layer
DOA,Dead on Arrival,
DOE,Design of Experiments / Diffractive Optical Element,Methods for the design of multi-factor experiments. Can also be used to refer to a particular experiment itself. Also stands for Diffractive Optical Element.
DOF,Depth of Focus,The relative amount of focus shift the process can withstand and still print an acceptable image.
DPM,Defect Per Million,In the context of Yield/Sort reports.
DPR,Direct Print Ribbon,Refer RET Fab Glossary#Glossaryoflayers for a glossary of layer names.
DPW,Die Per Wafer,"Yield number of expected ""good"" die on each wafer. Allows the Planner to forecast potential die out based on Wafer Starts."
DRC,Design Rule Check,In the context of Calibre
DRT,Design Rule and Tapeout (pronounced as Dirt),
DSx,Diffusion Spacer,Refer RET Fab Glossary#Glossaryoflayers for a glossary of layer names.
DT ,Design Technology,"Software for place & route tools, cadence interface, etc; not for circuit simulations"
DUT,Design Under Test,
DUV,Deep Ultra Violet,"The short-wavelength end of the ultraviolet spectrum; includes 248 nm and 193 nm, but not EUV."
DVB,Deep Via Backside/Boundary,"Connects TCN to BM0 in Tyche - Also sets the OGD boundary of the standard logic cell (160H, 180H, etc)"
DVE,Design Verification Engineering,Encodes tapeout flows based on sizing tables defined by CSO
ETE or E2E,End To End,"(1) Two nearby features with parallel, adjacent edges that ""face"" or project onto one another. If the features have a high aspect ratio, then the facing edges should be the ""short"" side of the feature. (2) The distance between two features in such a configuration."
EAM,Enterprise Access Management,One of the rights management tools used by Intel to oversee worker access to various reports and systems. The tool may be accessed here.
EASE,Employee Access Support Environment,An internal source for human resource support services and tools. EASE was replaced by Employee Services.
EB,Employee Bonus,A variable component of direct cash compensation that is dependent on the company and business unit performance based on specific business group performance and earnings per share growth. Formerly called Executive Bonus.
ECBP,Employee Cash Bonus Plan,"An Intel benefit payable to employees twice a year, calculated as one-half day's pay for every 2% of corporate pretax profit or 4% of corporate net income; whichever is higher."
ECD,Estimated Completion Date,
ECO,Engineering Change Order,
EDA,,Electronic Design Automation or Exploratory Data Analysis
EDI,Estimated Die Impact,
EDM,Edge Damage Monitor,Part of etch ring to test the reliability of ring during laser cut. It is placed towards the active area.
EDS,Edge Data Sizing,"Originally Etch Data Sizing, now Edge Data Sizing due to expanded scope. Equation-based correction applied to tape data by IMO to account for long-range (~millimeters) effects in mask manufacturing (e.g. chrome density effects) analogous to our MEC correction for short-range (~micron) effects. Not to be confused with Pre-EDS sizing."
EF Tgt,Exposure Field Targeting,
ELF,Electronic Lot File,"Integrates with WorkStream to allow the creation of custom lot flows by the factory process engineer and then notifies the technician of non- standard processing (for holds, split/merge, etc)."
EMGR,Electromagnetic guard ring,Used by Fab for Quality & Reliability testing
EOBD,End of Business Day,
EOL,End of Life,When a process is no longer produced at a facility. Depends on the data/usage - Broadly if some data is finalized.
EOM,End of Message,Used to note there is no futher communication in the message. Often used in the subject area of an email to note there is nothing further to read in the body of the email.
EPE,Edge Placement Error,Distance between the countour and target at the edge of a polygon
EPSM,Embedded Phase Shift Mask or Attenuating Phase Shifting Mask (Also ePSM),"Reticle that uses 100% transmission regions (quartz), and ~6% transmission regions (MoSi) with a relative 180 degree phase shift."
ER,Etch ring,
ERSA,Employee Relations Self-Assessment,A comprehensive and systematic method of assessment to improve the employee relations environment.
ERT,Emergency Response Team,Team of people trained to handle all site emergencies.
ESD,positive source drain implant layer,D stands for dark field (ijn contrast to ESB). Can exist and/change names based on technology
ETE or E2E,End To End,"(1) Two nearby features with parallel, adjacent edges that ""face"" or project onto one another. If the features have a high aspect ratio, then the facing edges should be on the short sides of the features. (2) The distance between two features in such a configuration."
ETH,End To Hole,
ETS,Exhaustive Test Set,May include some or all layers in gds
EUV,Extreme Ultra Violet,
F0,Nominal focus conditions,
F0D0,"F0=Nominal focus, D0=Nominal Exposure Dose",
F0DP2,Positive Exposure Dose (+2),
F2F,Face to face,Meeting of all members in one physical location.
FA,Flow Audit,
FAB,Fabrication Facility,Front-end production facilities that produce wafers and other microprocessor memory products.
FAMC,Fixed Alternate Metrocell,
FCCD,Final Check Critical Dimension,"The after-etch inline critical dimension measurement (e.g., the CD in the wafer)."
FCD DIC,Frame Critical Dimension Drop In Cell,
FCO/FCSO,Fab Cellset Owner,Graphics Engineer
FDR,Frame Design Rule,
FE,Front-End,"Refers to beginning layers in the process, usually through CON"
FEC,Fogging Error Correction,A type of long-range e-beam input pattern correction used in the context of writing patterns on mask resist using an e-bean writer.
FECL,Front-End Community Lot,A shorter stack of layers for quick turnaround on testing rather than waiting for the full stack
FECM,Front-End Coordination Meeting,
FEM,Focus-Exposure Matrix,Also Finite Element Method.
FFI,Foreign Function Interface,
FFL,First Full Loop,First set of wafers manufactured using the full-process flow.
FlexRay,Flexible Rays,An ASML illumination unit on optical scanners that uses a programmable array of thousands of individually adjustable micro-mirrors to generate a freeform pupilgram. See IIU.
FMC,Frame Metro Cell,"A set of regular structures in the frame used by Lithography to measure process health, process variation, etc."
FMLFC,Final Mask Layout Final/Fin Check,CD post final etch on all layers making a single process level (example: DNx - if x goes 1 to 3 then FMLFC is after DN3 has been etched) - DCCD -> PRE-ASH -> FCCD -> FMLFC
FN2D0,Negative Focus (-2),
FOF,Fox Oly Fox,
FOH,,
FOUP,Front Opening Unified Pod,Wafer carrier used in 300 mm processing.  The FOUP has it's own mini-environment that is cleaner than the ambient environment of the clean room
FRE,Fab Revision for RET,FRE - Fab Revision for RET
FSOL,Full Stack Overlay,Enable in-die overlay wafer measurement. OPC corrected DIC measured by IMO and Fab.
FTI,Fin Trim Isolation,Layer. Refer RET Fab Glossary#Glossaryoflayers for a glossary of layer names.
FTM model,Fast Thick Mask model,
FTR,Fin Trim Removal,
FUSE,It's a type of circuit layout that can still be modified (once) after production,
FUT,Feature Under Test,
FVTC,Flow Validation Test Case,
FWP,Final White Paper,Published to document changes to model/creation of model for a new layer & presented/defended at SRB
GAV,Grating Assisted Via,
GCIB,Gas Cluster Ion Beam,https://en.wikipedia.org/wiki/Gas_cluster_ion_beam
GCN,Gate Contact,A layer name
GDS,Graphic Database System,Precursor to the OASIS databse format for circuit/photomask layout and design
GEO,Gate Etch Out,
GFA,Gross Failure Analysis,
GL,Group Leader,A team member who facilitates and provides leadership direction for the team.
GILA / TILA,Gate/Trench Inter Level Align,GILA = nitride layer that looks like a roman helmet
GMF,Golden Mapping File,
GOOP,,flowable nitride-like film that gets converted to oxide with a cure. (It's just goopy.)
GPTW,Great Place to Work,Great Place to Work is an Intel value.
GR,Guard Ring,
GRC,Gross Reality Check,
GTO,Global Tapeout Operations,
GUI,Graphical User Interface,
HCCD,Hardmask Check Critical Dimension,"A name sometimes used for dimensions measured in a hardmask layer post-etch. This also goes by a number of different names in different technologies and focus groups, depending on the process and the exact layer where the dimension is measured."
HDBM,Hierarchical Database Manager,The Hierarchical Database Manager data structures are the fundamental units into which design (pre-opc)
HDC,High Density Cell,A type of bitcell.
HDRF,High Density Register File,
HIP,Hard IP,
HMC,Hardmask Confined,
HPC,High Performance Cell,A type of bitcell.
HSD,High Speed Database,
HVM,High Volume Manufacturing,"After the process is stable and reliable, increasing the amount produced."
HVQK,High Voltage Quick Kill,
IAG,Intel Architecture Business Group,
IBO,Image Based Overlay,Overlay mark for video image-based metrology. See also DBO.
IC,Individual contributor,Rank and file engineer (not a group leader)
ICF,Intel Custom Foundry,An Intel division that solicits designs from external customers for production in Intel fabs. Traditionally Intel has only produced chips that were designed within Intel.
ICG,Intel Communications Group,
ICTC,Internal corner to corner,MRC spec parameter
ICV,IC (Integrated Circuit) Validator,Software produced by Synopsys that has various layout verification capabilities. RET typically utilizes the pattern matching function of this software.
IDF,Information Disclosure Form,To document ideas that can become Intel Top Secret or patents
IDRG,In-Die Reg Cell,"Metrology structures that are drawn using FDRs and use the same basic construction and integration into design as any other FDR structure. The content is drawn under FDRID, surrounded by beard, which then transitions to SDR layouts."
IEM,Identify and Entitlement Management,
IFE,Injury (or Incident) Free Environment,Project to develop the Intel workforce to become dedicated and personally committed to eliminating all occupational injuries and incidents requiring a paradigm shift in the belief that accidents just happen.
IFS,Intel Foundry Services,System where reticle tapeout requests are submitted and tracked
IIU,Intelligent Illuminator Unit,"A Nikon illumination unit used to generate free-form pupilgrams. It is a DLP-style, mirror-based arbitrary source generator similar to ASML's Flexray. See FlexRay."
ILD,Interlayer Dielectric,
ILT,Inverse Lithography Transform,Software made by CLT for performing OPC. Typically used on CMC layers.
IMBO,Intel Management By Objective.,A process for long-range planning.
IMO,Intel Mask Operations,The division of Intel that produces photolithography masks and does research into new mask production techniques.
INT,Intensity,
IP,Intellectual Property,
IPC,In-Process Charging,IPC design rules allow charge mitigation strategies and designs to prevent material damage or etch inefficiencies due to accumulated charges during fab processing of the wafer stack
IPS,Individual Performance Summary,
IR,Improvement Required,
IRIS,,Silicon carbide etch stop
ISM,Intel Software Market,The Intel® Software Manager is a software utility that notifies users of the Intel® Software Development Tools when updates are available for their installed Intel software products.
ISSC,In-Situ Strip and Clean,A Hitachi Etch cleaning module  
ISO,ISO (not an acronym),"A standard to predict or monitor yield, independent of wafer and die size, which are fabricated on the same technology. "
ISON,Isolation Nitride,
ISS,Intel Software Supply,A division of Intel Technology that distributes software internally.
IT,Information Technology,A strategic business group within the Intel organization.
ITO,Intel Tapeout Operations,
IU,Intel University,Program within Intel to administrate training.
JDP,Joint Development Project,
JETT,,P-type work-function metal (TiN)
JF,Jones Farm,Another Intel Oregon campus near Evergreen and NE 25th in Hillsboro.
KDE,K Desktop Environment,
KIF,Kernel Input File,
LCCD,Liner Check Critical Dimension,
LDI,Layer Dependency Information,
LEA,Lithography Enabling Algorithms,
LEPSM,Line End Phase Shift Mask,An EPSM mask with phase assist features achieved at line ends through etching the quartz just like in APSM.
LER,Line Edge Roughness,Variation in edge placement for a jagged or wavy edge. Often reported as a 3-sigma (standard deviation) value. Will be zero for a perfectly straight edge. See LWR below.
LLN,Low Leakage N-type Implant layer,
LLP,Low Leakage P-type Implant layer,
LMB,Local Minima Basins,In the context of Optimization in MAZAMA
LMB ,Litho Model Builder,Built by PTM to do optimization of Progen model parameters with Copter optimization program  Command Line: lmb -r 1.5.3 file.lmb > file.out &
LMC,Litho Metrology Checker,Tachyon LMC is an ALT-based CBC tool.
LO,Layer Owner,typically Fab Litho layer owner who owns reticle CD's and pattern integrity
LOA,Leave of Absence,"An approved period of time off from work for medical, personal or military reasons."
LOP,Layer Operating Point / Litho Operating Point,Layer from a previous technology that is being copied
LRD,Lens-reticle Distortion,
LRL,Long Running Layer,
LTD,Logic Technology Development,"Intel's main fab R&D unit, which we all work in."
LTI,Linear Time-invariant,
LVS,Layout Versus Schematic,In the context of Calibre
LWR,Line Width Roughness,"From Field Guide to Optical Lithography (Chris Mack, SPIE Press): ""When variations in the width of a resist feature occur quickly over the length of the feature, this variation is called linewidth roughness. When examining these variations along just one edge it is called line edge roughness (LER, see above). LER becomes important for feature sizes on the order of 100 nm or less, and can become a significant source of linewidth control problems for features below 50 nm. LER is caused by a number of statistically fluctuating effects at these small dimensions such as shot noise (photon flux variations), statistical distributions of chemical species in the resist such as photoacid generators, the random walk nature of acid diffusion during chemical amplification, and the nonzero size of resist polymers being dissolved during development. It is unclear which process or processes dominate in their contribution to LER."""
LYA,Low Yield Analysis,A division of TMG.
MAL,Materials Analysis Lab,Lab at Intel that deals with material characterization.
MaPS ,Mazama Pattern Selector,A language used in HUDZ sampling to select user defined patterns from layouts.  
MBM,Multi-Beam Manufacturing,In context of IMO e-beam writing. See VSB.
MCM,Management Committee Member,
MDP,Mask Data Preparation,
MEC,Mask Error Correction,"Corrects for errors in the IMO process. MEC starts with the mask target (the output of OPC) and produces a layer that, when used in the actual IMO process, will approximately yield the mask target. The relationship between MEC and IMO is analogous to that between OPC and Lithography."
MEEF,Mask Error Enhancement Factor,How much effect a 1 nm error on the drawn mask will have on the printed wafer.  It describes the sensitivity of the process to the reticle. X nm (1X magnification) ?CD on mask causes an Y nm  (1X magnification) on wafer. MEEF = Y/X.
WEEF,Wafer Error Enhancement Factor,How much effect a 1 nm delta on the resist contour will have on the etch contour.  It describes the sensitivity of the etch process to the resist. X nm (1X magnification) ?CD on resist causes an Y nm  (1X magnification) on post-etch pattern. MEEF = Y/X. It will be close to MEEF_AEI/MEEF_ADI.
MERLN,Model Error Reduction for Last Nm,
MGA,,Modified Genetic Algorithm or Model Grid Aligner. Model grid aligner modifies the model ROI for each domain by snapping it to the nearest global model grid point
MIC,Model-based Image Corrector,Improves upon PAC which was Pitch Aware Corrector for image inversion
minhole,minimum sized hole,A resist hole of the smallest size allowed by design rules.
ML,Multi-Layer,In the context of IMO mask fabrication.
MLO,Multi-Layer Overlay,
MOPC,Model Based OPC,
MOQ,Manual Order Queue,Can setup a series of jobs to be delivered to an instrument.
MOR,Model Of Record,The tool set identified by the Technology Development (TD) group for a particular process based on demand for a product.
MoSi,Molybdenum Silicide,Opaque absorbing film used with fused silica substrates.  Has better adhesion to fused silica than chrome.
MPC,Mask Proximity Correction,In the context of mask writing at IMO.
MR,Module Recipe,Pairing of an RET module and a mask layer in order to be used in a Recipe Set. Used in TES.
MRC,Mask Rule Check,"A rule that must be obeyed by the mask target (the output of OPC) in order for the mask to be produced by IMO. For example, there is a minimum segment size that can be reliably produced by the IMO process."
,Management Review Committee,"Murthy R., Jim Keller , etc"
MRS,Model Release Script,Perl script that aids in the release of OPC models
MRV,Module Recipe Validation,
MRWP,Mask Release White Paper,"One of these used to be written every time a mask was released with a new recipe set, until about mid-2017. See SRB."
MT#,Metal layer #,The name of the metal layer. The number counts up from the front end (near the transistors) to the back end.
MTT,Mean To Target,Mean Measured CD on plate (4X in midi - 1 in jobdeck) - Target CD on plate. In the context of qualifying a plate.
MTS,Module Target Spec,"For each module in each technology, this is the amount of error that is ""allowed"" for that module by the program committee for that technology. Here, a module means any operation (a litho exposure, an etch, a polish, RET model, RET recipe, etc.) involved in the process. The program tries to put bounds on the total error in the process by bounding the amount of error that can come from each module. For example, RET recipe might be allotted 2 nm of deviation in a particular technology for a particular layer."
MVS,Model Verification Script,
NBM,NMOS Block Mask,
NCAR,Negative Chemically Amplified Resist,See PCAR.
NEO,New Employee Orientation,Required class for new hires.
NES,Negative Source/Drain Implant Layer,Can exist/change name based on current technology. Refer RET Fab Glossary#Glossaryoflayers for a glossary of layer names.
NGL,No-Gauge Layer,"A layer used in OPC recipes to indicate where gauges should not be created. This effectively prevents OPC from occurring on those sites. The no-gauge layer always contains the no-OPC layer (see DNP), but may contain other features. This distinction is important because the no-OPC layer is used for a variety of purposes in other recipes such as PreOPC and MEC."
NPI,New Product Introduction,"New Product Introduction, or NPI, is a concept which describes the process required to bring a product from IPA - Implementation Plan Approval through PRQ - Production Release Qualification and into HVM - High Volume Manufacturing. The term New Product Introduction encompasses design, Tapeout, fabrication, wafer sort, unit assembly & test, validation, certification and qualification of High Volume Manufacturing (HVM) products as well as associated test vehicles and test chips. As such, 'Tapeout to NPI' is one of the major milestone/state changes in the lifecycle of product development at Intel."
NTD,Negative Tone Develop,"Photoresist that, when not exposed to light, will wash away during the develop stage. See NCAR. The opposite of PCAR/PTD."
NTH,Nice To Have,Utilized in CGM
NTK,Need To Know,Used in place of sensitive data that is on a kneed to know basis.
NWL,N-well,A fab layer that is used in negative implant doping.
NZO,Nonzero offset,"From https://doi.org/10.1117/12.2583804 : ""It is well known that there may be a spatially dependent offset between overlay on targets and the device. This is commonly called a non-zero offset (NZO) [1], which is a comparison between device overlay measured with the CD SEM after etching (AEI) and optical overlay measured on targets after litho (ADI). In addition, the position of targets could impact the validity of corrections modeled using these targets."""
OAI,Off Axis Illumination,Improves resolution by limiting the phase and orders of diffracted light exposed to the wafer.  Annular Illuminations is the most commonly practiced. Dipole and Quadrapole are other types.
OASIS,Open Artwork System Interchange Standard,https://en.wikipedia.org/wiki/Open_Artwork_System_Interchange_Standard
OBL,Outer boundary layer,Related to 3D mask effects in the model
OCAC,On-Call Assistance Center,Phone system for human resource assistance -- 1-800-238-0486
OGD,Orthogonal to Gate Direction,Parallel to fin direction
OHV,Over-Head Vehicle,The individual cars on the AMHS that get/store lots from stocker to loading ports on tools.
OLY,,Aluminum Oxide etch stop film
OOO,Out of Office,"Used to indicate when an employee is away for work, vacation, or personal absence."
OOP,Out of Plant,"Used to indicate when an employee is away for work, vacation, or personal absence."
OOPS,OPC Ordinary Plot Script,JSL script which enables opening of .asd files
OPC,Optical Proximity Correction,"The process of modifying the reticle to compensate for processing issues that keeps the printed wafer from being ideal.  (Corner rounding, iso-nested bias, etc.) In the context of Calibre"
OPS,Operations,Often used as another name for Tapeout Operations (also known as ITO - Intel Tapeout Operations)
OpX,Operational Excellence,"A rededication to Intel values focused on improving quality, productivity and output."
OR,Oregon,"Here, this typically refers to the Oregon computing cluster (as opposed to SC, the Santa Clara computing cluster)."
ORTO_e_1,Oregon Tapeout Environment e 1,Name of server environment or pool where jobs are run.
OSO,Oxide Silicon Oxide,"Silicon Dioxide + Amorphous Silicon + Silicon Dioxide trilayer which is typically used as an ""etch stop + accumulation"" layer complex above an AHM (Amorphous Hard Mask). This is required to prevent AHM recess (partial etch down) when accumulating plugs (Example: 1278 TP1 and TP2).  The amorphous silicon acts as an etch stop for the oxide etch."
